state,age,sex,education,major,stayTime,rate,websiteName,activity,userID,predict
1,0.5,1,0.75,0.363636364,0.938871909,1,21,0.000127085,12935,0.755745438
1,0.5,1,0.75,0.818181818,0.741317033,0.727348837,21,0.015521557,16099,0.755479326
1,0.75,1,0.75,0.545454545,0.788830231,0.70235621,21,0.011963182,754,0.751714249
1,0.75,1,0.5,0.545454545,0.743817727,1,21,0.007990458,4123,0.750372811
1,0.75,1,1,0.272727273,0.522367324,1,21,0.001207306,6044,0.749411983
1,0.75,1,0.75,0.545454545,0.497360378,1,21,0.001454856,14746,0.74737986
1,0.5,1,0.75,0.545454545,0.746874132,1,21,0.000545406,14385,0.745984163
1,0.75,1,1,0.818181818,0.972770214,0,21,8.21E-05,3931,0.744144188
1,0.25,1,0.75,0.545454545,0.987218672,1,21,0.007091598,16437,0.742874896
1,0.75,1,1,0.545454545,0.724645735,0.490701407,21,0.023177094,17155,0.737088862
1,0.75,1,1,0.727272727,0.786329536,0.263182368,21,0.0013794,8603,0.731274112
1,0.5,1,0.75,0.363636364,0.913587108,1,21,3.97E-06,12905,0.730337523
1,0.75,1,1,0.272727273,0.502917477,1,21,0.00141779,14250,0.73017262
1,0.75,1,0.75,0.545454545,0.481522645,1,21,8.47E-05,13414,0.730171994
1,0.75,1,1,0.545454545,0.223395388,1,21,0.002764095,12051,0.724724109
1,0.75,1,0.5,0.545454545,0.722978605,1,21,0.001890387,6457,0.723433618
1,0.75,1,0.75,0.545454545,0.784245624,0.682153337,21,0.007521833,4902,0.72248542
1,0.75,1,0.5,0.636363636,0.627674354,1,21,0.001914215,5427,0.719062286
1,0.75,1,0.5,0.636363636,0.608502362,1,21,0.01671033,12087,0.714686409
1,0.75,1,0.25,0.818181818,0.941094749,0.746875693,21,0.000630129,10913,0.709892469
1,0.75,1,1,0.545454545,0.786607391,0.416384762,21,0.008092391,11032,0.70964917
